label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults,L1D_MPKI,L1D_miss_rate,branch_MPKI,branch_rate,branch_miss_rate,IPC,CPI
calibration,calibration,default,1024,1024,3,1234,7,0,100,8065587,59237,9409906,544417,65662765,34421188,1,2187,0.90214,0.00734441,8.29111,0.143307,0.0578557,1.90763,0.524212
calibration,calibration,default,1024,1024,3,1234,8,0,100,8071542,57590,9413463,546160,65683598,35147643,0,2188,0.876779,0.00713494,8.31501,0.143315,0.058019,1.86879,0.535105
calibration,calibration,default,1024,1024,3,1234,9,0,96,8094513,56614,9551426,556656,66886152,34790148,1,2186,0.846423,0.00699412,8.32244,0.142801,0.0582799,1.92256,0.52014
calibration,calibration,default,1024,1024,3,1234,10,0,97,8173876,61607,9576655,554423,67141927,36188393,1,2184,0.917564,0.00753706,8.25748,0.142633,0.0578932,1.85534,0.538984
calibration,calibration,default,1024,1024,3,1234,11,0,96,8123860,58571,9580984,562790,67088496,35186853,1,2184,0.873041,0.00720975,8.38877,0.142811,0.0587403,1.90664,0.524484
calibration,calibration,default,1024,1024,3,1234,12,0,96,8095537,53366,9549637,562658,66872909,35603622,1,2187,0.798021,0.00659203,8.41384,0.142803,0.0589193,1.87826,0.532407
calibration,calibration,default,1024,1024,3,1234,13,0,96,8163324,56656,9625936,565373,67378513,35821617,1,2185,0.840862,0.00694031,8.391,0.142864,0.0587343,1.88095,0.531647
calibration,calibration,default,1024,1024,3,1234,14,0,96,8107959,52434,9567170,562390,66996815,36324205,1,2188,0.782634,0.00646698,8.39428,0.1428,0.0587833,1.84441,0.542178
calibration,calibration,default,1024,1024,3,1234,15,0,100,8072366,60194,9413752,543873,65689772,35286970,1,2183,0.916337,0.0074568,8.27942,0.143306,0.0577743,1.86159,0.537176
calibration,calibration,default,1024,1024,3,1234,16,0,100,8065257,51280,9409782,549591,65661722,35055495,1,2186,0.780973,0.00635814,8.37004,0.143307,0.0584063,1.87308,0.53388
