label,stage,variant,H,W,K,n,L1-dcache-loads_median,L1-dcache-load-misses_median,branch-instructions_median,branch-misses_median,instructions_median,cpu-cycles_median,context-switches_median,page-faults_median,L1D_MPKI_median,L1D_miss_rate_median,branch_MPKI_median,branch_rate_median,branch_miss_rate_median,IPC_median,CPI_median,L1-dcache-loads_mad,L1-dcache-load-misses_mad,branch-instructions_mad,branch-misses_mad,instructions_mad,cpu-cycles_mad,context-switches_mad,page-faults_mad,L1D_MPKI_mad,L1D_miss_rate_mad,branch_MPKI_mad,branch_rate_mad,branch_miss_rate_mad,IPC_mad,CPI_mad
simd128_v2,simd,conv_simd128_v2,8192,8192,3,20,8.5737744e+08,5256822,8.6600991e+08,34063852,5.6947804e+09,2.6954222e+09,5,196773,0.92303867,0.006131033,5.9818884,0.15206895,0.039336085,2.1127228,0.47332299,9.905e+04,2.981e+04,9.131e+04,6322,5.725e+05,6.771e+06,1,1,0.005109,3.389e-05,0.001573,4.668e-07,1.119e-05,0.005207,0.001165
simd128_v2,simd,conv_simd128_v2,16384,16384,3,20,3.428281e+09,34014828,3.4638169e+09,1.3611766e+08,2.2778082e+10,1.0748651e+10,18,786629,1.4934455,0.0099224919,5.975943,0.1520683,0.039297592,2.1191469,0.471888,6.541e+04,1.771e+05,8.534e+04,2.427e+04,4.671e+05,6.402e+06,2.5,1,0.007711,5.129e-05,0.0009447,2.647e-07,6.303e-06,0.001294,0.000288
simd128_v3,simd,conv_simd128_v3,64,64,3,20,624637,16098.5,484105.5,17816.5,2789536.5,2508447.5,1,143,5.7920768,0.025959494,6.4180116,0.17342075,0.036968451,1.1077164,0.90278416,6584,896.5,5300,298,3.517e+04,9.83e+04,0,1,0.3498,0.001568,0.05472,0.0001609,0.0003174,0.03811,0.03163
simd128_v3,simd,conv_simd128_v3,128,128,3,20,783731,13876,650126,24526,4013118,2780439,1,179,3.4073371,0.017451938,6.1727801,0.16207735,0.037957698,1.4230344,0.70272892,1.118e+04,414.5,1.174e+04,1070,7.04e+04,6.974e+04,0,1,0.03823,0.0001926,0.2705,0.000144,0.001703,0.04263,0.02043
simd128_v3,simd,conv_simd128_v3,256,256,3,20,1391083,14849.5,1245704,52247,8265237.5,4598267.5,1,326,1.7666281,0.010507655,6.3351081,0.15069053,0.041797187,1.7901539,0.55864769,1.188e+04,608,1.04e+04,639,6.788e+04,7.409e+04,0,1,0.05842,0.000344,0.07832,6.752e-05,0.0002945,0.04777,0.01489
simd128_v3,simd,conv_simd128_v3,512,512,3,20,3692535,27008,3460475.5,156407,23817112,11870418,1,903,1.1284308,0.0072793151,6.5591933,0.14530122,0.045136309,2.0032593,0.49918781,2.736e+04,1016,2.212e+04,1595,1.521e+05,1.613e+05,0,1,0.04506,0.0002776,0.02369,2.41e-05,0.0002262,0.02297,0.005696
simd128_v3,simd,conv_simd128_v3,1024,1024,3,20,12958649,61136.5,12331216,561785.5,85866037,42017544,2,3210,0.71375992,0.0047277657,6.542743,0.14361918,0.045551982,2.0361088,0.49113296,2.931e+04,1589,3.162e+04,1429,2.44e+05,3.22e+05,1,1,0.02097,0.0001381,0.005451,9.374e-06,5.349e-05,0.01574,0.003825
simd128_v3,simd,conv_simd128_v3,2048,2048,3,20,49645052,237619.5,47460208,2167198,3.3153416e+08,1.631109e+08,1,12430,0.71687698,0.0047875851,6.5400414,0.14315167,0.045685148,2.030385,0.49251749,4.082e+04,4966,3.908e+04,2689,2.782e+05,3.764e+05,0,1,0.01464,9.647e-05,0.003833,1.203e-06,2.348e-05,0.002377,0.000576
simd128_v3,simd,conv_simd128_v3,4096,4096,3,20,1.9596454e+08,972081.5,1.8752972e+08,8546918.5,1.3110037e+09,6.5041653e+08,2,49301.5,0.74283893,0.004968432,6.5214558,0.14304244,0.045589377,2.0156347,0.49612166,6.281e+04,1.582e+04,6.134e+04,5598,4.374e+05,9.134e+05,1,1.5,0.0136,8.978e-05,0.002177,1.136e-06,1.612e-05,0.002796,0.0006893
simd128_v3,simd,conv_simd128_v3,8192,8192,3,20,7.8179517e+08,4400590,7.4844727e+08,34072054,5.2329483e+09,2.5931485e+09,4,196773,0.84088229,0.0056283472,6.5106312,0.14302632,0.045520636,2.0179619,0.49554956,8.006e+04,7.31e+04,7.805e+04,1.451e+04,5.458e+05,4.677e+06,1,1,0.01402,9.386e-05,0.002183,8.147e-07,1.546e-05,0.00337,0.000829
simd128_v3,simd,conv_simd128_v3,16384,16384,3,20,3.1261461e+09,32319750,2.9938896e+09,1.3611369e+08,2.0931852e+10,1.0330311e+10,15,786629,1.5440378,0.010338436,6.5026334,0.14303106,0.045463247,2.0262497,0.49352262,1.268e+05,2.758e+05,5.436e+04,2.723e+04,7.858e+05,9.601e+06,1,1,0.01306,8.762e-05,0.001402,7.356e-07,9.544e-06,0.001823,0.000444
