stage,label,version,H,W,K,seed,rep,correct,naive_ms,stage_ms,gflops,speedup
simd,simd256_v3,conv_simd256_v3,256,256,3,1234,20,yes,0.289,0.021,56.77,13.93
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,1,yes,1.178,0.083,57.07,14.24
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,2,yes,1.161,0.083,57.12,14.05
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,3,yes,1.142,0.082,57.21,13.84
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,4,yes,1.137,0.086,55.13,13.29
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,5,yes,1.231,0.084,56.45,14.72
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,6,yes,1.221,0.082,57.21,14.81
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,7,yes,1.148,0.083,57.19,13.91
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,8,yes,1.283,0.082,57.22,15.56
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,9,yes,1.279,0.083,57.17,15.49
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,10,yes,1.285,0.083,57.08,15.55
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,11,yes,1.196,0.082,57.24,14.50
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,12,yes,1.211,0.083,57.16,14.67
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,13,yes,1.231,0.083,57.01,14.87
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,14,yes,1.269,0.082,57.26,15.41
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,15,yes,1.122,0.082,57.33,13.63
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,16,yes,1.077,0.083,56.96,13.00
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,17,yes,1.160,0.083,57.06,14.03
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,18,yes,1.220,0.083,56.98,14.73
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,19,yes,1.277,0.083,57.17,15.48
simd,simd256_v3,conv_simd256_v3,512,512,3,1234,20,yes,1.152,0.083,56.97,13.91
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,1,yes,4.537,0.331,56.98,13.70
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,2,yes,4.802,0.327,57.75,14.69
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,3,yes,4.691,0.328,57.49,14.29
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,4,yes,4.689,0.327,57.66,14.33
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,5,yes,4.650,0.334,56.54,13.93
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,6,yes,4.873,0.330,57.18,14.76
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,7,yes,4.904,0.327,57.66,14.98
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,8,yes,4.581,0.328,57.47,13.95
simd,simd256_v3,conv_simd256_v3,1024,1024,3,1234,9,yes,4.907,0.328,57.60,14.97
