variant,a_degree,b_degree,M,N,K,seed,sample,time_ms,gflops,baseline_ms,speedup,correct
tiled_simd,1,16,off,512,512,512,1234,1,7.926763,33.8644,120.973697,15.261425,yes
tiled_simd,1,16,off,512,512,512,1234,2,7.693385,34.8917,120.973697,15.724378,yes
tiled_simd,1,16,off,512,512,512,1234,3,7.844162,34.2210,120.973697,15.422131,yes
tiled_simd,1,16,off,512,512,512,1234,4,7.899098,33.9831,120.973697,15.314875,yes
tiled_simd,1,16,off,512,512,512,1234,5,7.906223,33.9524,120.973697,15.301073,yes
tiled_simd,1,16,off,1024,1024,1024,1234,1,67.209220,31.9522,1052.510469,15.660210,na
tiled_simd,1,16,off,1024,1024,1024,1234,2,67.224883,31.9448,1052.510469,15.656561,na
tiled_simd,1,16,off,1024,1024,1024,1234,3,66.332280,32.3746,1052.510469,15.867244,na
tiled_simd,1,16,off,1024,1024,1024,1234,4,65.812651,32.6303,1052.510469,15.992525,na
tiled_simd,1,16,off,1024,1024,1024,1234,5,75.805031,28.3290,1052.510469,13.884441,na
tiled_simd,1,16,off,2048,2048,2048,1234,1,621.064691,27.6620,9075.974621,14.613574,na
tiled_simd,1,16,off,2048,2048,2048,1234,2,619.638653,27.7256,9075.974621,14.647205,na
tiled_simd,1,16,off,2048,2048,2048,1234,3,609.390687,28.1919,9075.974621,14.893524,na
tiled_simd,1,16,off,2048,2048,2048,1234,4,615.625101,27.9064,9075.974621,14.742697,na
tiled_simd,1,16,off,2048,2048,2048,1234,5,615.488995,27.9126,9075.974621,14.745958,na
tiled_simd,1,48,off,256,256,256,1234,1,0.913196,36.7440,12.665585,13.869514,yes
tiled_simd,1,48,off,256,256,256,1234,2,0.905653,37.0500,12.665585,13.985031,yes
tiled_simd,1,48,off,256,256,256,1234,3,0.903833,37.1246,12.665585,14.013192,yes
tiled_simd,1,48,off,256,256,256,1234,4,0.900303,37.2702,12.665585,14.068136,yes
tiled_simd,1,48,off,256,256,256,1234,5,0.901934,37.2028,12.665585,14.042696,yes
tiled_simd,1,48,off,512,512,512,1234,1,7.886840,34.0359,120.973697,15.338678,yes
tiled_simd,1,48,off,512,512,512,1234,2,7.702146,34.8520,120.973697,15.706492,yes
tiled_simd,1,48,off,512,512,512,1234,3,7.736464,34.6974,120.973697,15.636820,yes
tiled_simd,1,48,off,512,512,512,1234,4,7.907858,33.9454,120.973697,15.297910,yes
tiled_simd,1,48,off,512,512,512,1234,5,7.838522,34.2457,120.973697,15.433228,yes
tiled_simd,1,48,off,1024,1024,1024,1234,1,67.579489,31.7772,1052.510469,15.574407,na
tiled_simd,1,48,off,1024,1024,1024,1234,2,67.648643,31.7447,1052.510469,15.558486,na
tiled_simd,1,48,off,1024,1024,1024,1234,3,66.132431,32.4725,1052.510469,15.915194,na
tiled_simd,1,48,off,1024,1024,1024,1234,4,73.524038,29.2079,1052.510469,14.315189,na
tiled_simd,1,48,off,1024,1024,1024,1234,5,69.678807,30.8198,1052.510469,15.105173,na
tiled_simd,1,48,off,2048,2048,2048,1234,1,622.631575,27.5924,9075.974621,14.576798,na
tiled_simd,1,48,off,2048,2048,2048,1234,2,633.634175,27.1132,9075.974621,14.323682,na
tiled_simd,1,48,off,2048,2048,2048,1234,3,627.446238,27.3806,9075.974621,14.464944,na
tiled_simd,1,48,off,2048,2048,2048,1234,4,633.551025,27.1168,9075.974621,14.325562,na
tiled_simd,1,48,off,2048,2048,2048,1234,5,628.487930,27.3352,9075.974621,14.440969,na
tiled_simd,1,80,off,256,256,256,1234,1,0.923653,36.3280,12.665585,13.712493,yes
tiled_simd,1,80,off,256,256,256,1234,2,0.907875,36.9593,12.665585,13.950803,yes
tiled_simd,1,80,off,256,256,256,1234,3,0.907301,36.9827,12.665585,13.959629,yes
tiled_simd,1,80,off,256,256,256,1234,4,0.906980,36.9958,12.665585,13.964569,yes
tiled_simd,1,80,off,256,256,256,1234,5,0.906381,37.0202,12.665585,13.973798,yes
tiled_simd,1,80,off,512,512,512,1234,1,7.948199,33.7731,120.973697,15.220265,yes
tiled_simd,1,80,off,512,512,512,1234,2,7.744949,34.6594,120.973697,15.619689,yes
tiled_simd,1,80,off,512,512,512,1234,3,7.829554,34.2849,120.973697,15.450905,yes
tiled_simd,1,80,off,512,512,512,1234,4,7.836335,34.2552,120.973697,15.437535,yes
tiled_simd,1,80,off,512,512,512,1234,5,7.930141,33.8500,120.973697,15.254924,yes
tiled_simd,1,80,off,1024,1024,1024,1234,1,66.759505,32.1675,1052.510469,15.765702,na
tiled_simd,1,80,off,1024,1024,1024,1234,2,66.271082,32.4045,1052.510469,15.881897,na
tiled_simd,1,80,off,1024,1024,1024,1234,3,68.863157,31.1848,1052.510469,15.284087,na
tiled_simd,1,80,off,1024,1024,1024,1234,4,66.743491,32.1752,1052.510469,15.769485,na
