label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
calibration,calibration,default,1024,1024,3,1234,6,0,96,8105360,56016,9563603,560453,66969842,34946864,1,2184
calibration,calibration,default,1024,1024,3,1234,7,0,100,8065587,59237,9409906,544417,65662765,34421188,1,2187
calibration,calibration,default,1024,1024,3,1234,8,0,100,8071542,57590,9413463,546160,65683598,35147643,0,2188
calibration,calibration,default,1024,1024,3,1234,9,0,96,8094513,56614,9551426,556656,66886152,34790148,1,2186
calibration,calibration,default,1024,1024,3,1234,10,0,97,8173876,61607,9576655,554423,67141927,36188393,1,2184
calibration,calibration,default,1024,1024,3,1234,11,0,96,8123860,58571,9580984,562790,67088496,35186853,1,2184
calibration,calibration,default,1024,1024,3,1234,12,0,96,8095537,53366,9549637,562658,66872909,35603622,1,2187
calibration,calibration,default,1024,1024,3,1234,13,0,96,8163324,56656,9625936,565373,67378513,35821617,1,2185
calibration,calibration,default,1024,1024,3,1234,14,0,96,8107959,52434,9567170,562390,66996815,36324205,1,2188
calibration,calibration,default,1024,1024,3,1234,15,0,100,8072366,60194,9413752,543873,65689772,35286970,1,2183
calibration,calibration,default,1024,1024,3,1234,16,0,100,8065257,51280,9409782,549591,65661722,35055495,1,2186
calibration,calibration,default,1024,1024,3,1234,17,0,96,8095988,53560,9554557,560354,66907911,34982376,1,2185
calibration,calibration,default,1024,1024,3,1234,18,0,96,8077291,54308,9531587,555041,66747743,34680135,1,2188
calibration,calibration,default,1024,1024,3,1234,19,0,96,8122227,52690,9580905,562552,67085660,35686838,1,2186
calibration,calibration,default,1024,1024,3,1234,20,0,96,8086769,54008,9543765,564531,66835698,35425270,1,2183
calibration,calibration,default,2048,2048,3,1234,1,0,98,30840815,178270,36785447,2164338,258667799,137887484,1,8332
calibration,calibration,default,2048,2048,3,1234,2,0,98,30744768,168509,36701942,2159922,258104610,136443991,1,8332
calibration,calibration,default,2048,2048,3,1234,3,0,98,30775170,174919,36732052,2167908,258316759,137044575,1,8332
calibration,calibration,default,2048,2048,3,1234,4,0,98,30688743,165790,36626608,2159730,257570445,136201443,2,8334
calibration,calibration,default,2048,2048,3,1234,5,0,98,30776545,170416,36732356,2168287,258319504,136918202,2,8333
calibration,calibration,default,2048,2048,3,1234,6,0,98,30756283,169255,36709800,2167841,258161949,136739950,1,8333
calibration,calibration,default,2048,2048,3,1234,7,0,98,30692283,170172,36635820,2155948,257643531,136816864,1,8333
calibration,calibration,default,2048,2048,3,1234,8,0,98,30808499,165989,36765258,2165297,258541340,139814338,2,8337
calibration,calibration,default,2048,2048,3,1234,9,0,100,30593237,173198,36400670,2141898,255744838,136899602,1,8335
calibration,calibration,default,2048,2048,3,1234,10,0,98,30783443,168299,36745211,2167748,258410322,138361085,1,8333
calibration,calibration,default,2048,2048,3,1234,11,0,98,30882748,174879,36860153,2172491,259211313,137555392,1,8335
calibration,calibration,default,2048,2048,3,1234,12,0,100,30594616,173892,36401915,2142890,255751903,137891402,1,8337
calibration,calibration,default,2048,2048,3,1234,13,0,98,30838660,172644,36806361,2170653,258836487,137018440,1,8335
calibration,calibration,default,2048,2048,3,1234,14,0,98,30831437,171196,36796887,2170195,258767997,138180627,1,8336
calibration,calibration,default,2048,2048,3,1234,15,0,98,30806508,170105,36755096,2168996,258426701,139601951,2,8334
calibration,calibration,default,2048,2048,3,1234,16,0,98,30791577,170947,36750385,2166800,258441237,138787995,1,8335
calibration,calibration,default,2048,2048,3,1234,17,0,98,30797404,165063,36759494,2175180,258507811,142408879,1,8335
calibration,calibration,default,2048,2048,3,1234,18,0,98,30834333,173110,36802702,2174792,258817373,138018833,1,8335
calibration,calibration,default,2048,2048,3,1234,19,0,98,30833944,171450,36803209,2168343,258816797,138875377,1,8334
calibration,calibration,default,2048,2048,3,1234,20,0,98,30839354,169407,36808520,2169561,258850179,139204162,1,8334
calibration,calibration,default,4096,4096,3,1234,1,0,99,121199966,672945,144975178,8540749,1020550567,547921796,2,32916
calibration,calibration,default,4096,4096,3,1234,2,0,100,120781662,674936,144427475,8517956,1016514618,542555886,4,32916
calibration,calibration,default,4096,4096,3,1234,3,0,99,120867483,658337,144649348,8533971,1018330455,540197587,1,32917
calibration,calibration,default,4096,4096,3,1234,4,0,100,120776785,663637,144423050,8526937,1016489729,542982060,2,32918
calibration,calibration,default,4096,4096,3,1234,5,0,99,120867929,657779,144648794,8531015,1018312134,542283805,3,32917
calibration,calibration,default,4096,4096,3,1234,6,0,99,121065516,653556,144888763,8547685,1020021346,544899701,4,32918
calibration,calibration,default,4096,4096,3,1234,7,0,99,121057333,612669,144872031,8555928,1019897156,561860697,2,32917
calibration,calibration,default,4096,4096,3,1234,8,0,99,120789650,670129,144449381,8516159,1016682050,545360224,3,32920
calibration,calibration,default,4096,4096,3,1234,9,0,100,120789100,668320,144432040,8513900,1016541573,548299161,1,32920
calibration,calibration,default,4096,4096,3,1234,10,0,99,120911251,667728,144697688,8533818,1018658561,541913315,1,32920
calibration,calibration,default,4096,4096,3,1234,11,0,99,121035001,659998,144853250,8546866,1019770480,540785158,2,32918
calibration,calibration,default,4096,4096,3,1234,12,0,99,121016559,664846,144824401,8542815,1019551687,541866580,2,32920
calibration,calibration,default,4096,4096,3,1234,13,0,99,120875176,657524,144656061,8532197,1018368595,542745024,2,32918
calibration,calibration,default,4096,4096,3,1234,14,0,99,120807967,655873,144478385,8519658,1016912717,540120851,2,32917
calibration,calibration,default,4096,4096,3,1234,15,0,99,121045856,663386,144864091,8556406,1019841371,541602103,2,32920
calibration,calibration,default,4096,4096,3,1234,16,0,99,121023312,656440,144832094,8541248,1019615853,540492543,2,32919
calibration,calibration,default,4096,4096,3,1234,17,0,99,120848367,657684,144624798,8535119,1018153399,540158312,3,32918
calibration,calibration,default,4096,4096,3,1234,18,0,99,121012820,656326,144820491,8550788,1019534984,543840311,2,32918
calibration,calibration,default,4096,4096,3,1234,19,0,99,121013128,678440,144823026,8543416,1019546759,541380713,3,32919
calibration,calibration,default,4096,4096,3,1234,20,0,99,121025828,666353,144838566,8546943,1019658824,540139556,1,32920
calibration,calibration,default,8192,8192,3,1234,1,0,99,482457779,2629512,577586369,34025284,4067024839,2167871130,3,131238
calibration,calibration,default,8192,8192,3,1234,2,0,99,482502500,2626766,577639946,34046709,4067398494,2159587855,6,131237
calibration,calibration,default,8192,8192,3,1234,3,0,99,482463456,2663901,577580623,34021002,4066947760,2158540709,5,131240
calibration,calibration,default,8192,8192,3,1234,4,0,99,482465373,2666615,577584382,34055026,4066963133,2168236339,3,131239
calibration,calibration,default,8192,8192,3,1234,5,0,99,482500564,2655567,577616590,34030650,4067167899,2170895075,3,131240
calibration,calibration,default,8192,8192,3,1234,6,0,99,482451553,2663141,577570110,34036995,4066868596,2175675830,7,131240
calibration,calibration,default,8192,8192,3,1234,7,0,99,482452993,2714870,577571406,34042633,4066878946,2175347119,2,131240
calibration,calibration,default,8192,8192,3,1234,8,0,99,482456948,2648237,577575344,34035125,4066922523,2169328730,6,131236
