label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
optimized,optimized,default,2048,2048,3,1234,6,0,99,39545335,661228,42901134,2151838,297383635,218857710,2,12428
optimized,optimized,default,2048,2048,3,1234,7,0,99,39544540,677167,42899783,2149953,297373212,218359579,4,12426
optimized,optimized,default,2048,2048,3,1234,8,0,99,39626170,686318,42982439,2153974,297934393,217428412,3,12431
optimized,optimized,default,2048,2048,3,1234,9,0,99,39557634,683515,42909091,2151537,297428383,218133810,4,12429
optimized,optimized,default,2048,2048,3,1234,10,0,99,39579133,681790,42934922,2154875,297619841,218697303,2,12431
optimized,optimized,default,2048,2048,3,1234,11,0,99,39534332,680521,42889739,2149805,297302007,217097946,3,12430
optimized,optimized,default,2048,2048,3,1234,12,0,99,39546137,673604,42902683,2150731,297396218,217187789,2,12427
optimized,optimized,default,2048,2048,3,1234,13,0,99,39550221,681260,42905114,2151271,297406119,222834754,2,12428
optimized,optimized,default,2048,2048,3,1234,14,0,99,39540278,713908,42896270,2152363,297350548,218106688,1,12428
optimized,optimized,default,2048,2048,3,1234,15,0,99,39564619,705847,42918266,2150993,297493746,218927272,3,12431
optimized,optimized,default,2048,2048,3,1234,16,0,99,39538605,695206,42891441,2150049,297305515,218677479,4,12430
optimized,optimized,default,2048,2048,3,1234,17,0,99,39573996,694073,42928714,2152882,297566885,218936917,4,12431
optimized,optimized,default,2048,2048,3,1234,18,0,99,39553859,680693,42909550,2152333,297434411,219008071,4,12430
optimized,optimized,default,2048,2048,3,1234,19,0,99,39557405,689397,42910378,2152770,297447959,217382202,3,12430
optimized,optimized,default,2048,2048,3,1234,20,0,99,39568803,683593,42925073,2152978,297552662,217276098,2,12430
optimized,optimized,default,4096,4096,3,1234,1,0,99,156875172,2693817,170523930,8534854,1182774586,862776491,8,49302
optimized,optimized,default,4096,4096,3,1234,2,0,99,156747327,2673975,170402996,8541399,1182013684,877152755,8,49299
optimized,optimized,default,4096,4096,3,1234,3,0,99,156698427,2674730,170349190,8532776,1181649916,880797765,10,49302
optimized,optimized,default,4096,4096,3,1234,4,0,99,156705590,2668686,170364937,8535504,1181772526,863510455,5,49302
optimized,optimized,default,4096,4096,3,1234,5,0,99,156749018,2643864,170406937,8537935,1182042655,867606338,9,49300
optimized,optimized,default,4096,4096,3,1234,6,0,99,156702699,2813330,170355953,8537100,1181692905,863288453,10,49299
optimized,optimized,default,4096,4096,3,1234,7,0,99,156695815,2587995,170353157,8528527,1181688225,865232324,6,49301
optimized,optimized,default,4096,4096,3,1234,8,0,99,156720432,2653603,170371075,8538366,1181798805,868052064,10,49301
optimized,optimized,default,4096,4096,3,1234,9,0,99,156707914,2699526,170360097,8534707,1181740108,865265707,10,49300
optimized,optimized,default,4096,4096,3,1234,10,0,99,156708669,2680823,170368997,8537129,1181821011,866385825,5,49298
optimized,optimized,default,4096,4096,3,1234,11,0,99,156732951,2642773,170382194,8530124,1181884343,866600645,9,49301
optimized,optimized,default,4096,4096,3,1234,12,0,99,156736173,2736925,170386423,8535816,1181900285,867625987,7,49302
optimized,optimized,default,4096,4096,3,1234,13,0,99,156737776,2688839,170388454,8536371,1181921905,867310459,7,49301
optimized,optimized,default,4096,4096,3,1234,14,0,99,156711460,2691991,170361444,8531735,1181745657,866090347,8,49302
optimized,optimized,default,4096,4096,3,1234,15,0,99,156760834,2701037,170412371,8537338,1182086506,867046235,8,49302
optimized,optimized,default,4096,4096,3,1234,16,0,99,156727852,2678228,170377666,8534631,1181862185,870272635,10,49302
optimized,optimized,default,4096,4096,3,1234,17,0,99,156748523,2813148,170400376,8539122,1181999065,866084725,9,49301
optimized,optimized,default,4096,4096,3,1234,18,0,99,156750145,2651473,170401458,8536642,1182014574,867719881,10,49298
optimized,optimized,default,4096,4096,3,1234,19,0,99,156743245,2663142,170385348,8538670,1181893964,881595707,10,49302
optimized,optimized,default,4096,4096,3,1234,20,0,99,156718757,2734846,170366022,8533671,1181774863,878125074,8,49302
optimized,optimized,default,8192,8192,3,1234,1,0,99,625966636,10958258,680928526,34066167,4723805190,3489117493,26,196773
optimized,optimized,default,8192,8192,3,1234,2,0,99,625966233,10883161,680901560,34068923,4723622470,3472304807,31,196774
optimized,optimized,default,8192,8192,3,1234,3,0,99,625969102,10852925,680921579,34078064,4723779473,3461545702,34,196773
optimized,optimized,default,8192,8192,3,1234,4,0,99,626021391,10940675,680978766,34067967,4724220597,3456879677,29,196774
optimized,optimized,default,8192,8192,3,1234,5,0,99,625963348,10516762,680904264,34055948,4723663607,3453906389,34,196771
optimized,optimized,default,8192,8192,3,1234,6,0,99,625919865,10808769,680871270,34067607,4723467422,3458087127,26,196771
optimized,optimized,default,8192,8192,3,1234,7,0,99,625940967,10690932,680886652,34060938,4723531304,3459428057,27,196771
optimized,optimized,default,8192,8192,3,1234,8,0,99,625964194,10492572,680902992,34068470,4723653741,3457229881,38,196775
optimized,optimized,default,8192,8192,3,1234,9,0,99,625908544,10901604,680860505,34065611,4723426601,3460890598,32,196775
optimized,optimized,default,8192,8192,3,1234,10,0,99,625934037,10703997,680879660,34068069,4723522837,3460868963,27,196773
optimized,optimized,default,8192,8192,3,1234,11,0,99,625976610,10747517,680920084,34061389,4723751539,3453201994,35,196773
