label,stage,variant,H,W,K,seed,rep,event,value,unit,counter_runtime_ns,pct_enabled
optimized,optimized,default,128,128,3,1234,5,cpu-cycles,4314581,,719558,60
optimized,optimized,default,128,128,3,1234,5,context-switches,1,,1190304,100
optimized,optimized,default,128,128,3,1234,5,page-faults,177,,1190304,100
optimized,optimized,default,128,128,3,1234,6,L1-dcache-loads,777791,,683348,59
optimized,optimized,default,128,128,3,1234,6,L1-dcache-load-misses,25216,,683348,59
optimized,optimized,default,128,128,3,1234,6,branch-instructions,668722,,683348,59
optimized,optimized,default,128,128,3,1234,6,branch-misses,28757,,683348,59
optimized,optimized,default,128,128,3,1234,6,instructions,4093748,,683348,59
optimized,optimized,default,128,128,3,1234,6,cpu-cycles,4208297,,683348,59
optimized,optimized,default,128,128,3,1234,6,context-switches,1,,1153176,100
optimized,optimized,default,128,128,3,1234,6,page-faults,181,,1153176,100
optimized,optimized,default,128,128,3,1234,7,L1-dcache-loads,762979,,668071,60
optimized,optimized,default,128,128,3,1234,7,L1-dcache-load-misses,26696,,668071,60
optimized,optimized,default,128,128,3,1234,7,branch-instructions,657069,,668071,60
optimized,optimized,default,128,128,3,1234,7,branch-misses,28255,,668071,60
optimized,optimized,default,128,128,3,1234,7,instructions,4021535,,668071,60
optimized,optimized,default,128,128,3,1234,7,cpu-cycles,4054107,,668071,60
optimized,optimized,default,128,128,3,1234,7,context-switches,1,,1112880,100
optimized,optimized,default,128,128,3,1234,7,page-faults,176,,1112880,100
optimized,optimized,default,128,128,3,1234,8,L1-dcache-loads,753121,,687671,61
optimized,optimized,default,128,128,3,1234,8,L1-dcache-load-misses,25319,,687671,61
optimized,optimized,default,128,128,3,1234,8,branch-instructions,647463,,687671,61
optimized,optimized,default,128,128,3,1234,8,branch-misses,27684,,687671,61
optimized,optimized,default,128,128,3,1234,8,instructions,3965613,,687671,61
optimized,optimized,default,128,128,3,1234,8,cpu-cycles,4087110,,687671,61
optimized,optimized,default,128,128,3,1234,8,context-switches,1,,1123027,100
optimized,optimized,default,128,128,3,1234,8,page-faults,177,,1123027,100
optimized,optimized,default,128,128,3,1234,9,L1-dcache-loads,717662,,716327,64
optimized,optimized,default,128,128,3,1234,9,L1-dcache-load-misses,25321,,716327,64
optimized,optimized,default,128,128,3,1234,9,branch-instructions,617377,,716327,64
optimized,optimized,default,128,128,3,1234,9,branch-misses,26327,,716327,64
optimized,optimized,default,128,128,3,1234,9,instructions,3775159,,716327,64
optimized,optimized,default,128,128,3,1234,9,cpu-cycles,4013895,,716327,64
optimized,optimized,default,128,128,3,1234,9,context-switches,1,,1111847,100
optimized,optimized,default,128,128,3,1234,9,page-faults,178,,1111847,100
optimized,optimized,default,128,128,3,1234,10,L1-dcache-loads,756546,,676094,60
optimized,optimized,default,128,128,3,1234,10,L1-dcache-load-misses,25543,,676094,60
optimized,optimized,default,128,128,3,1234,10,branch-instructions,650796,,676094,60
optimized,optimized,default,128,128,3,1234,10,branch-misses,27734,,676094,60
optimized,optimized,default,128,128,3,1234,10,instructions,3984874,,676094,60
optimized,optimized,default,128,128,3,1234,10,cpu-cycles,4046573,,676094,60
optimized,optimized,default,128,128,3,1234,10,context-switches,1,,1109599,100
optimized,optimized,default,128,128,3,1234,10,page-faults,176,,1109599,100
optimized,optimized,default,128,128,3,1234,11,L1-dcache-loads,717104,,998717,93
optimized,optimized,default,128,128,3,1234,11,L1-dcache-load-misses,22849,,998717,93
optimized,optimized,default,128,128,3,1234,11,branch-instructions,588010,,998717,93
optimized,optimized,default,128,128,3,1234,11,branch-misses,24462,,998717,93
optimized,optimized,default,128,128,3,1234,11,instructions,3514561,,998717,93
optimized,optimized,default,128,128,3,1234,11,cpu-cycles,3609254,,998717,93
optimized,optimized,default,128,128,3,1234,11,context-switches,2,,1067363,100
optimized,optimized,default,128,128,3,1234,11,page-faults,177,,1067363,100
optimized,optimized,default,128,128,3,1234,12,L1-dcache-loads,757579,,692613,61
optimized,optimized,default,128,128,3,1234,12,L1-dcache-load-misses,26472,,692613,61
